Age_grp,serotype,n,disease,Indigenous.status,year
25-49,21,0,UNKNOWN,Non-Indigenous,2022
25-49,22A,0,UNKNOWN,Non-Indigenous,2022
25-49,23A,2,UNKNOWN,Non-Indigenous,2022
25-49,23B,3,UNKNOWN,Non-Indigenous,2022
25-49,31,1,UNKNOWN,Non-Indigenous,2022
25-49,33A,1,UNKNOWN,Non-Indigenous,2022
25-49,34,0,UNKNOWN,Non-Indigenous,2022
25-49,35A,0,UNKNOWN,Non-Indigenous,2022
25-49,35B,0,UNKNOWN,Non-Indigenous,2022
25-49,35F,0,UNKNOWN,Non-Indigenous,2022
25-49,38,0,UNKNOWN,Non-Indigenous,2022
25-49,Non typable,1,UNKNOWN,Non-Indigenous,2022
25-49,Unknown,9,UNKNOWN,Non-Indigenous,2022
50-64,4,2,UNKNOWN,Non-Indigenous,2022
50-64,6B,0,UNKNOWN,Non-Indigenous,2022
50-64,9V,0,UNKNOWN,Non-Indigenous,2022
50-64,14,0,UNKNOWN,Non-Indigenous,2022
50-64,18C,1,UNKNOWN,Non-Indigenous,2022
50-64,19F,6,UNKNOWN,Non-Indigenous,2022
50-64,1,0,UNKNOWN,Non-Indigenous,2022
50-64,3,8,UNKNOWN,Non-Indigenous,2022
50-64,8,2,UNKNOWN,Non-Indigenous,2022
50-64,9N,2,UNKNOWN,Non-Indigenous,2022
50-64,10A,2,UNKNOWN,Non-Indigenous,2022
50-64,11A,2,UNKNOWN,Non-Indigenous,2022
50-64,12F,0,UNKNOWN,Non-Indigenous,2022
50-64,15B,0,UNKNOWN,Non-Indigenous,2022
50-64,17F,0,UNKNOWN,Non-Indigenous,2022
50-64,19A,4,UNKNOWN,Non-Indigenous,2022
50-64,22F,5,UNKNOWN,Non-Indigenous,2022
50-64,33F,1,UNKNOWN,Non-Indigenous,2022
50-64,6C,0,UNKNOWN,Non-Indigenous,2022
50-64,7C,1,UNKNOWN,Non-Indigenous,2022
50-64,13,1,UNKNOWN,Non-Indigenous,2022
50-64,15A,0,UNKNOWN,Non-Indigenous,2022
50-64,15C,0,UNKNOWN,Non-Indigenous,2022
50-64,16F,0,UNKNOWN,Non-Indigenous,2022
50-64,21,0,UNKNOWN,Non-Indigenous,2022
50-64,22A,0,UNKNOWN,Non-Indigenous,2022
50-64,23A,2,UNKNOWN,Non-Indigenous,2022
50-64,23B,3,UNKNOWN,Non-Indigenous,2022
50-64,31,0,UNKNOWN,Non-Indigenous,2022
50-64,33A,0,UNKNOWN,Non-Indigenous,2022
50-64,34,0,UNKNOWN,Non-Indigenous,2022
50-64,35A,0,UNKNOWN,Non-Indigenous,2022
50-64,35B,2,UNKNOWN,Non-Indigenous,2022
50-64,35F,1,UNKNOWN,Non-Indigenous,2022
50-64,38,1,UNKNOWN,Non-Indigenous,2022
50-64,Non typable,0,UNKNOWN,Non-Indigenous,2022
50-64,Unknown,7,UNKNOWN,Non-Indigenous,2022
65-69,4,0,UNKNOWN,Non-Indigenous,2022
65-69,6B,0,UNKNOWN,Non-Indigenous,2022
65-69,9V,0,UNKNOWN,Non-Indigenous,2022
65-69,14,0,UNKNOWN,Non-Indigenous,2022
65-69,18C,0,UNKNOWN,Non-Indigenous,2022
65-69,19F,2,UNKNOWN,Non-Indigenous,2022
65-69,1,0,UNKNOWN,Non-Indigenous,2022
65-69,3,4,UNKNOWN,Non-Indigenous,2022
65-69,8,0,UNKNOWN,Non-Indigenous,2022
65-69,9N,0,UNKNOWN,Non-Indigenous,2022
65-69,10A,0,UNKNOWN,Non-Indigenous,2022
65-69,11A,1,UNKNOWN,Non-Indigenous,2022
65-69,12F,1,UNKNOWN,Non-Indigenous,2022
65-69,15B,2,UNKNOWN,Non-Indigenous,2022
65-69,17F,2,UNKNOWN,Non-Indigenous,2022
65-69,19A,3,UNKNOWN,Non-Indigenous,2022
65-69,22F,2,UNKNOWN,Non-Indigenous,2022
65-69,33F,1,UNKNOWN,Non-Indigenous,2022
65-69,6C,1,UNKNOWN,Non-Indigenous,2022
65-69,7C,1,UNKNOWN,Non-Indigenous,2022
65-69,13,0,UNKNOWN,Non-Indigenous,2022
65-69,15A,1,UNKNOWN,Non-Indigenous,2022
65-69,15C,0,UNKNOWN,Non-Indigenous,2022
65-69,16F,2,UNKNOWN,Non-Indigenous,2022
65-69,21,0,UNKNOWN,Non-Indigenous,2022
65-69,22A,0,UNKNOWN,Non-Indigenous,2022
65-69,23A,0,UNKNOWN,Non-Indigenous,2022
65-69,23B,2,UNKNOWN,Non-Indigenous,2022
65-69,31,0,UNKNOWN,Non-Indigenous,2022
65-69,33A,0,UNKNOWN,Non-Indigenous,2022
65-69,34,0,UNKNOWN,Non-Indigenous,2022
65-69,35A,0,UNKNOWN,Non-Indigenous,2022
65-69,35B,1,UNKNOWN,Non-Indigenous,2022
65-69,35F,0,UNKNOWN,Non-Indigenous,2022
65-69,38,0,UNKNOWN,Non-Indigenous,2022
65-69,Non typable,1,UNKNOWN,Non-Indigenous,2022
65-69,Unknown,3,UNKNOWN,Non-Indigenous,2022
70-74,4,0,UNKNOWN,Non-Indigenous,2022
70-74,6B,0,UNKNOWN,Non-Indigenous,2022
70-74,9V,0,UNKNOWN,Non-Indigenous,2022
70-74,14,1,UNKNOWN,Non-Indigenous,2022
70-74,18C,0,UNKNOWN,Non-Indigenous,2022
70-74,19F,0,UNKNOWN,Non-Indigenous,2022
70-74,1,0,UNKNOWN,Non-Indigenous,2022
70-74,3,1,UNKNOWN,Non-Indigenous,2022
70-74,8,0,UNKNOWN,Non-Indigenous,2022
70-74,9N,1,UNKNOWN,Non-Indigenous,2022
70-74,10A,2,UNKNOWN,Non-Indigenous,2022
70-74,11A,0,UNKNOWN,Non-Indigenous,2022
70-74,12F,0,UNKNOWN,Non-Indigenous,2022
70-74,15B,0,UNKNOWN,Non-Indigenous,2022
70-74,17F,0,UNKNOWN,Non-Indigenous,2022
70-74,19A,0,UNKNOWN,Non-Indigenous,2022
70-74,22F,1,UNKNOWN,Non-Indigenous,2022
70-74,33F,1,UNKNOWN,Non-Indigenous,2022
70-74,6C,0,UNKNOWN,Non-Indigenous,2022
70-74,7C,0,UNKNOWN,Non-Indigenous,2022
70-74,13,0,UNKNOWN,Non-Indigenous,2022
70-74,15A,0,UNKNOWN,Non-Indigenous,2022
70-74,15C,0,UNKNOWN,Non-Indigenous,2022
70-74,16F,1,UNKNOWN,Non-Indigenous,2022
70-74,21,0,UNKNOWN,Non-Indigenous,2022
70-74,22A,0,UNKNOWN,Non-Indigenous,2022
70-74,23A,2,UNKNOWN,Non-Indigenous,2022
70-74,23B,2,UNKNOWN,Non-Indigenous,2022
70-74,31,0,UNKNOWN,Non-Indigenous,2022
70-74,33A,0,UNKNOWN,Non-Indigenous,2022
70-74,34,0,UNKNOWN,Non-Indigenous,2022
70-74,35A,2,UNKNOWN,Non-Indigenous,2022
70-74,35B,2,UNKNOWN,Non-Indigenous,2022
70-74,35F,0,UNKNOWN,Non-Indigenous,2022
70-74,38,1,UNKNOWN,Non-Indigenous,2022
70-74,Non typable,0,UNKNOWN,Non-Indigenous,2022
70-74,Unknown,6,UNKNOWN,Non-Indigenous,2022
75-79,4,0,UNKNOWN,Non-Indigenous,2022
75-79,6B,1,UNKNOWN,Non-Indigenous,2022
75-79,9V,0,UNKNOWN,Non-Indigenous,2022
75-79,14,0,UNKNOWN,Non-Indigenous,2022
75-79,18C,0,UNKNOWN,Non-Indigenous,2022
75-79,19F,3,UNKNOWN,Non-Indigenous,2022
75-79,1,1,UNKNOWN,Non-Indigenous,2022
75-79,3,2,UNKNOWN,Non-Indigenous,2022
75-79,8,0,UNKNOWN,Non-Indigenous,2022
75-79,9N,0,UNKNOWN,Non-Indigenous,2022
75-79,10A,0,UNKNOWN,Non-Indigenous,2022
75-79,11A,1,UNKNOWN,Non-Indigenous,2022
75-79,12F,0,UNKNOWN,Non-Indigenous,2022
75-79,15B,1,UNKNOWN,Non-Indigenous,2022
75-79,17F,0,UNKNOWN,Non-Indigenous,2022
75-79,19A,0,UNKNOWN,Non-Indigenous,2022
75-79,22F,3,UNKNOWN,Non-Indigenous,2022
75-79,33F,0,UNKNOWN,Non-Indigenous,2022
75-79,6C,0,UNKNOWN,Non-Indigenous,2022
75-79,7C,0,UNKNOWN,Non-Indigenous,2022
75-79,13,0,UNKNOWN,Non-Indigenous,2022
75-79,15A,0,UNKNOWN,Non-Indigenous,2022
75-79,15C,0,UNKNOWN,Non-Indigenous,2022
75-79,16F,0,UNKNOWN,Non-Indigenous,2022
75-79,21,0,UNKNOWN,Non-Indigenous,2022
75-79,22A,1,UNKNOWN,Non-Indigenous,2022
75-79,23A,0,UNKNOWN,Non-Indigenous,2022
75-79,23B,0,UNKNOWN,Non-Indigenous,2022
75-79,31,0,UNKNOWN,Non-Indigenous,2022
75-79,33A,0,UNKNOWN,Non-Indigenous,2022
75-79,34,0,UNKNOWN,Non-Indigenous,2022
75-79,35A,0,UNKNOWN,Non-Indigenous,2022
75-79,35B,0,UNKNOWN,Non-Indigenous,2022
75-79,35F,1,UNKNOWN,Non-Indigenous,2022
75-79,38,0,UNKNOWN,Non-Indigenous,2022
75-79,Non typable,0,UNKNOWN,Non-Indigenous,2022
75-79,Unknown,2,UNKNOWN,Non-Indigenous,2022
80-84,4,0,UNKNOWN,Non-Indigenous,2022
80-84,6B,0,UNKNOWN,Non-Indigenous,2022
80-84,9V,0,UNKNOWN,Non-Indigenous,2022
80-84,14,0,UNKNOWN,Non-Indigenous,2022
80-84,18C,0,UNKNOWN,Non-Indigenous,2022
80-84,19F,0,UNKNOWN,Non-Indigenous,2022
80-84,1,0,UNKNOWN,Non-Indigenous,2022
80-84,3,0,UNKNOWN,Non-Indigenous,2022
80-84,8,0,UNKNOWN,Non-Indigenous,2022
80-84,9N,0,UNKNOWN,Non-Indigenous,2022
80-84,10A,1,UNKNOWN,Non-Indigenous,2022
80-84,11A,0,UNKNOWN,Non-Indigenous,2022
80-84,12F,0,UNKNOWN,Non-Indigenous,2022
80-84,15B,1,UNKNOWN,Non-Indigenous,2022
80-84,17F,0,UNKNOWN,Non-Indigenous,2022
80-84,19A,0,UNKNOWN,Non-Indigenous,2022
80-84,22F,0,UNKNOWN,Non-Indigenous,2022
80-84,33F,1,UNKNOWN,Non-Indigenous,2022
80-84,6C,2,UNKNOWN,Non-Indigenous,2022
80-84,7C,0,UNKNOWN,Non-Indigenous,2022
80-84,13,0,UNKNOWN,Non-Indigenous,2022
80-84,15A,0,UNKNOWN,Non-Indigenous,2022
80-84,15C,0,UNKNOWN,Non-Indigenous,2022
80-84,16F,2,UNKNOWN,Non-Indigenous,2022
80-84,21,0,UNKNOWN,Non-Indigenous,2022
80-84,22A,0,UNKNOWN,Non-Indigenous,2022
80-84,23A,2,UNKNOWN,Non-Indigenous,2022
80-84,23B,0,UNKNOWN,Non-Indigenous,2022
80-84,31,0,UNKNOWN,Non-Indigenous,2022
80-84,33A,0,UNKNOWN,Non-Indigenous,2022
80-84,34,1,UNKNOWN,Non-Indigenous,2022
80-84,35A,0,UNKNOWN,Non-Indigenous,2022
80-84,35B,0,UNKNOWN,Non-Indigenous,2022
80-84,35F,1,UNKNOWN,Non-Indigenous,2022
80-84,38,1,UNKNOWN,Non-Indigenous,2022
80-84,Non typable,0,UNKNOWN,Non-Indigenous,2022
80-84,Unknown,2,UNKNOWN,Non-Indigenous,2022
85-89,4,0,UNKNOWN,Non-Indigenous,2022
85-89,6B,0,UNKNOWN,Non-Indigenous,2022
85-89,9V,0,UNKNOWN,Non-Indigenous,2022
85-89,14,0,UNKNOWN,Non-Indigenous,2022
85-89,18C,0,UNKNOWN,Non-Indigenous,2022
85-89,19F,0,UNKNOWN,Non-Indigenous,2022
85-89,1,0,UNKNOWN,Non-Indigenous,2022
85-89,3,1,UNKNOWN,Non-Indigenous,2022
85-89,8,0,UNKNOWN,Non-Indigenous,2022
85-89,9N,0,UNKNOWN,Non-Indigenous,2022
85-89,10A,0,UNKNOWN,Non-Indigenous,2022
85-89,11A,0,UNKNOWN,Non-Indigenous,2022
85-89,12F,0,UNKNOWN,Non-Indigenous,2022
85-89,15B,0,UNKNOWN,Non-Indigenous,2022
85-89,17F,0,UNKNOWN,Non-Indigenous,2022
85-89,19A,0,UNKNOWN,Non-Indigenous,2022
85-89,22F,1,UNKNOWN,Non-Indigenous,2022
85-89,33F,0,UNKNOWN,Non-Indigenous,2022
85-89,6C,1,UNKNOWN,Non-Indigenous,2022
85-89,7C,1,UNKNOWN,Non-Indigenous,2022
85-89,13,0,UNKNOWN,Non-Indigenous,2022
85-89,15A,0,UNKNOWN,Non-Indigenous,2022
85-89,15C,1,UNKNOWN,Non-Indigenous,2022
85-89,16F,0,UNKNOWN,Non-Indigenous,2022
85-89,21,0,UNKNOWN,Non-Indigenous,2022
85-89,22A,0,UNKNOWN,Non-Indigenous,2022
85-89,23A,0,UNKNOWN,Non-Indigenous,2022
85-89,23B,1,UNKNOWN,Non-Indigenous,2022
85-89,31,0,UNKNOWN,Non-Indigenous,2022
85-89,33A,0,UNKNOWN,Non-Indigenous,2022
85-89,34,1,UNKNOWN,Non-Indigenous,2022
85-89,35A,0,UNKNOWN,Non-Indigenous,2022
85-89,35B,1,UNKNOWN,Non-Indigenous,2022
85-89,35F,1,UNKNOWN,Non-Indigenous,2022
85-89,38,0,UNKNOWN,Non-Indigenous,2022
85-89,Non typable,0,UNKNOWN,Non-Indigenous,2022
85-89,Unknown,0,UNKNOWN,Non-Indigenous,2022
90+,4,0,UNKNOWN,Non-Indigenous,2022
90+,6B,0,UNKNOWN,Non-Indigenous,2022
90+,9V,0,UNKNOWN,Non-Indigenous,2022
90+,14,0,UNKNOWN,Non-Indigenous,2022
90+,18C,0,UNKNOWN,Non-Indigenous,2022
90+,19F,1,UNKNOWN,Non-Indigenous,2022
90+,1,0,UNKNOWN,Non-Indigenous,2022
90+,3,0,UNKNOWN,Non-Indigenous,2022
90+,8,0,UNKNOWN,Non-Indigenous,2022
90+,9N,0,UNKNOWN,Non-Indigenous,2022
90+,10A,0,UNKNOWN,Non-Indigenous,2022
90+,11A,0,UNKNOWN,Non-Indigenous,2022
90+,12F,0,UNKNOWN,Non-Indigenous,2022
90+,15B,0,UNKNOWN,Non-Indigenous,2022
90+,17F,0,UNKNOWN,Non-Indigenous,2022
90+,19A,0,UNKNOWN,Non-Indigenous,2022
90+,22F,1,UNKNOWN,Non-Indigenous,2022
90+,33F,0,UNKNOWN,Non-Indigenous,2022
90+,6C,0,UNKNOWN,Non-Indigenous,2022
90+,7C,0,UNKNOWN,Non-Indigenous,2022
90+,13,0,UNKNOWN,Non-Indigenous,2022
90+,15A,1,UNKNOWN,Non-Indigenous,2022
90+,15C,0,UNKNOWN,Non-Indigenous,2022
90+,16F,0,UNKNOWN,Non-Indigenous,2022
90+,21,0,UNKNOWN,Non-Indigenous,2022
90+,22A,0,UNKNOWN,Non-Indigenous,2022
90+,23A,1,UNKNOWN,Non-Indigenous,2022
90+,23B,0,UNKNOWN,Non-Indigenous,2022
90+,31,0,UNKNOWN,Non-Indigenous,2022
90+,33A,0,UNKNOWN,Non-Indigenous,2022
90+,34,0,UNKNOWN,Non-Indigenous,2022
90+,35A,0,UNKNOWN,Non-Indigenous,2022
90+,35B,0,UNKNOWN,Non-Indigenous,2022
90+,35F,0,UNKNOWN,Non-Indigenous,2022
90+,38,0,UNKNOWN,Non-Indigenous,2022
90+,Non typable,0,UNKNOWN,Non-Indigenous,2022
90+,Unknown,1,UNKNOWN,Non-Indigenous,2022
0-1M,9N,0,UNKNOWN,Non-Indigenous,2022
0-1M,10A,0,UNKNOWN,Non-Indigenous,2022
0-1M,11A,0,UNKNOWN,Non-Indigenous,2022
0-1M,15B,0,UNKNOWN,Non-Indigenous,2022
0-1M,19A,0,UNKNOWN,Non-Indigenous,2022
0-1M,22F,0,UNKNOWN,Non-Indigenous,2022
0-1M,33F,1,UNKNOWN,Non-Indigenous,2022
0-1M,15A,0,UNKNOWN,Non-Indigenous,2022
0-1M,15C,0,UNKNOWN,Non-Indigenous,2022
0-1M,35F,0,UNKNOWN,Non-Indigenous,2022
0-1M,Non typable,0,UNKNOWN,Non-Indigenous,2022
0-1M,Unknown,0,UNKNOWN,Non-Indigenous,2022
6-11M,9N,0,UNKNOWN,Non-Indigenous,2022
6-11M,10A,0,UNKNOWN,Non-Indigenous,2022
6-11M,11A,1,UNKNOWN,Non-Indigenous,2022
6-11M,15B,2,UNKNOWN,Non-Indigenous,2022
6-11M,19A,1,UNKNOWN,Non-Indigenous,2022
6-11M,22F,1,UNKNOWN,Non-Indigenous,2022
6-11M,33F,0,UNKNOWN,Non-Indigenous,2022
6-11M,15A,0,UNKNOWN,Non-Indigenous,2022
6-11M,15C,0,UNKNOWN,Non-Indigenous,2022
6-11M,35F,0,UNKNOWN,Non-Indigenous,2022
6-11M,Non typable,1,UNKNOWN,Non-Indigenous,2022
6-11M,Unknown,2,UNKNOWN,Non-Indigenous,2022
1-4,4,0,UNKNOWN,Non-Indigenous,2021
1-4,18C,0,UNKNOWN,Non-Indigenous,2021
1-4,19F,0,UNKNOWN,Non-Indigenous,2021
1-4,23F,0,UNKNOWN,Non-Indigenous,2021
1-4,3,2,UNKNOWN,Non-Indigenous,2021
1-4,7F,0,UNKNOWN,Non-Indigenous,2021
1-4,8,0,UNKNOWN,Non-Indigenous,2021
1-4,9N,0,UNKNOWN,Non-Indigenous,2021
1-4,10A,0,UNKNOWN,Non-Indigenous,2021
1-4,11A,0,UNKNOWN,Non-Indigenous,2021
1-4,12F,0,UNKNOWN,Non-Indigenous,2021
1-4,15B,1,UNKNOWN,Non-Indigenous,2021
1-4,19A,0,UNKNOWN,Non-Indigenous,2021
1-4,22F,0,UNKNOWN,Non-Indigenous,2021
1-4,33F,0,UNKNOWN,Non-Indigenous,2021
1-4,6C,0,UNKNOWN,Non-Indigenous,2021
1-4,10F,0,UNKNOWN,Non-Indigenous,2021
1-4,15A,0,UNKNOWN,Non-Indigenous,2021
1-4,15C,0,UNKNOWN,Non-Indigenous,2021
1-4,16F,0,UNKNOWN,Non-Indigenous,2021
1-4,18A,0,UNKNOWN,Non-Indigenous,2021
1-4,23A,0,UNKNOWN,Non-Indigenous,2021
1-4,23B,0,UNKNOWN,Non-Indigenous,2021
1-4,24F,0,UNKNOWN,Non-Indigenous,2021
1-4,31,0,UNKNOWN,Non-Indigenous,2021
1-4,34,0,UNKNOWN,Non-Indigenous,2021
1-4,35B,0,UNKNOWN,Non-Indigenous,2021
1-4,35F,0,UNKNOWN,Non-Indigenous,2021
1-4,Non typable,0,UNKNOWN,Non-Indigenous,2021
1-4,Unknown,0,UNKNOWN,Non-Indigenous,2021
5-14,4,0,UNKNOWN,Non-Indigenous,2021
5-14,18C,0,UNKNOWN,Non-Indigenous,2021
5-14,19F,0,UNKNOWN,Non-Indigenous,2021
5-14,23F,0,UNKNOWN,Non-Indigenous,2021
5-14,3,0,UNKNOWN,Non-Indigenous,2021
5-14,7F,0,UNKNOWN,Non-Indigenous,2021
5-14,8,0,UNKNOWN,Non-Indigenous,2021
5-14,9N,0,UNKNOWN,Non-Indigenous,2021
5-14,10A,0,UNKNOWN,Non-Indigenous,2021
5-14,11A,0,UNKNOWN,Non-Indigenous,2021
5-14,12F,0,UNKNOWN,Non-Indigenous,2021
5-14,15B,0,UNKNOWN,Non-Indigenous,2021
5-14,19A,0,UNKNOWN,Non-Indigenous,2021
5-14,22F,0,UNKNOWN,Non-Indigenous,2021
5-14,33F,0,UNKNOWN,Non-Indigenous,2021
5-14,6C,0,UNKNOWN,Non-Indigenous,2021
5-14,10F,0,UNKNOWN,Non-Indigenous,2021
5-14,15A,0,UNKNOWN,Non-Indigenous,2021
5-14,15C,0,UNKNOWN,Non-Indigenous,2021
5-14,16F,0,UNKNOWN,Non-Indigenous,2021
5-14,18A,0,UNKNOWN,Non-Indigenous,2021
5-14,23A,1,UNKNOWN,Non-Indigenous,2021
